anm	anm	kod	nod	vud	mdflw	rbf	
1.011000e+00	3.154762e-01	1.237814e-01	1.000000e-09	1.199477e-01	8.773982e-01	1.179812e+00	
1.012000e+00	3.169643e-01	1.223461e-01	1.000000e-09	1.194742e-01	8.716514e-01	1.178092e+00	
1.013000e+00	3.184524e-01	1.209130e-01	1.000000e-09	1.190015e-01	8.658885e-01	1.176377e+00	
1.014000e+00	3.199405e-01	1.194821e-01	1.000000e-09	1.185295e-01	8.601095e-01	1.174668e+00	
1.015000e+00	3.214286e-01	1.180535e-01	1.000000e-09	1.180582e-01	8.543145e-01	1.172963e+00	
1.016000e+00	3.229167e-01	1.166271e-01	1.000000e-09	1.175877e-01	8.485035e-01	1.171263e+00	
1.017000e+00	3.244048e-01	1.152029e-01	1.000000e-09	1.171179e-01	8.426766e-01	1.169568e+00	
1.018000e+00	3.258929e-01	1.137809e-01	1.000000e-09	1.166488e-01	8.368337e-01	1.167878e+00	
1.019000e+00	3.273810e-01	1.123611e-01	1.000000e-09	1.161805e-01	8.309750e-01	1.166193e+00	
1.020000e+00	3.288690e-01	1.109435e-01	1.000000e-09	1.157129e-01	8.251004e-01	1.164513e+00	
1.021000e+00	3.303571e-01	1.095281e-01	1.000000e-09	1.152460e-01	8.192100e-01	1.162838e+00	
1.022000e+00	3.318452e-01	1.081150e-01	1.000000e-09	1.147798e-01	8.133038e-01	1.161167e+00	
1.023000e+00	3.333333e-01	1.067040e-01	1.000000e-09	1.143144e-01	8.073819e-01	1.159501e+00	
1.024000e+00	3.348214e-01	1.052952e-01	1.000000e-09	1.138497e-01	8.014442e-01	1.157840e+00	
1.025000e+00	3.363095e-01	1.038887e-01	1.000000e-09	1.133857e-01	7.954908e-01	1.156184e+00	
1.026000e+00	3.377976e-01	1.024843e-01	1.000000e-09	1.129224e-01	7.895218e-01	1.154532e+00	
1.027000e+00	3.392857e-01	1.010822e-01	1.000000e-09	1.124599e-01	7.835372e-01	1.152886e+00	
1.028000e+00	3.407738e-01	9.968220e-02	1.000000e-09	1.119981e-01	7.775369e-01	1.151243e+00	
1.029000e+00	3.422619e-01	9.828445e-02	1.000000e-09	1.115370e-01	7.715211e-01	1.149606e+00	
1.030000e+00	3.437500e-01	9.688890e-02	1.000000e-09	1.110767e-01	7.654898e-01	1.147973e+00	
1.031000e+00	3.452381e-01	9.549555e-02	1.000000e-09	1.106170e-01	7.594429e-01	1.146345e+00	
1.032000e+00	3.467262e-01	9.410440e-02	1.000000e-09	1.101581e-01	7.533806e-01	1.144721e+00	
1.033000e+00	3.482143e-01	9.271545e-02	1.000000e-09	1.097000e-01	7.473028e-01	1.143103e+00	
1.034000e+00	3.497024e-01	9.132870e-02	1.000000e-09	1.092425e-01	7.412096e-01	1.141488e+00	
1.035000e+00	3.511905e-01	8.994416e-02	1.000000e-09	1.087858e-01	7.351011e-01	1.139878e+00	
1.036000e+00	3.526786e-01	8.856182e-02	1.000000e-09	1.083298e-01	7.289771e-01	1.138273e+00	
1.037000e+00	3.541667e-01	8.718169e-02	1.000000e-09	1.078746e-01	7.228379e-01	1.136672e+00	
1.038000e+00	3.556548e-01	8.580377e-02	1.000000e-09	1.074200e-01	7.166833e-01	1.135076e+00	
1.039000e+00	3.571429e-01	8.442805e-02	1.000000e-09	1.069662e-01	7.105135e-01	1.133484e+00	
1.040000e+00	3.586310e-01	8.305454e-02	1.000000e-09	1.065131e-01	7.043284e-01	1.131897e+00	
