anpx	anpx	kod	nod	vud	mdflw	rbf	
1.160000e+00	2.345277e-01	2.678090e-01	6.447061e-02	8.629557e-01	1.587179e+00	1.239293e+00	
1.170000e+00	2.356135e-01	2.689566e-01	6.507285e-02	8.702849e-01	1.593605e+00	1.239521e+00	
1.180000e+00	2.366992e-01	2.701044e-01	6.567527e-02	8.776161e-01	1.600034e+00	1.239749e+00	
1.190000e+00	2.377850e-01	2.712524e-01	6.627787e-02	8.849494e-01	1.606465e+00	1.239976e+00	
1.200000e+00	2.388708e-01	2.724005e-01	6.688064e-02	8.922848e-01	1.612897e+00	1.240204e+00	
1.210000e+00	2.399566e-01	2.735487e-01	6.748360e-02	8.996222e-01	1.619332e+00	1.240432e+00	
1.220000e+00	2.410423e-01	2.746971e-01	6.808674e-02	9.069617e-01	1.625768e+00	1.240660e+00	
1.230000e+00	2.421281e-01	2.758457e-01	6.869005e-02	9.143033e-01	1.632206e+00	1.240888e+00	
1.240000e+00	2.432139e-01	2.769945e-01	6.929354e-02	9.216470e-01	1.638647e+00	1.241117e+00	
1.250000e+00	2.442997e-01	2.781434e-01	6.989722e-02	9.289928e-01	1.645089e+00	1.241345e+00	
1.260000e+00	2.453855e-01	2.792926e-01	7.050107e-02	9.363407e-01	1.651532e+00	1.241573e+00	
1.270000e+00	2.464712e-01	2.804419e-01	7.110510e-02	9.436906e-01	1.657978e+00	1.241802e+00	
1.280000e+00	2.475570e-01	2.815914e-01	7.170931e-02	9.510427e-01	1.664426e+00	1.242030e+00	
1.290000e+00	2.486428e-01	2.827410e-01	7.231370e-02	9.583968e-01	1.670876e+00	1.242259e+00	
1.300000e+00	2.497286e-01	2.838909e-01	7.291827e-02	9.657531e-01	1.677327e+00	1.242487e+00	
1.310000e+00	2.508143e-01	2.850410e-01	7.352302e-02	9.731115e-01	1.683780e+00	1.242716e+00	
1.320000e+00	2.519001e-01	2.861913e-01	7.412795e-02	9.804720e-01	1.690236e+00	1.242945e+00	
1.330000e+00	2.529859e-01	2.873418e-01	7.473306e-02	9.878346e-01	1.696693e+00	1.243174e+00	
1.340000e+00	2.540717e-01	2.884925e-01	7.533835e-02	9.951993e-01	1.703152e+00	1.243403e+00	
1.350000e+00	2.551574e-01	2.896434e-01	7.594382e-02	1.002566e+00	1.709613e+00	1.243632e+00	
1.360000e+00	2.562432e-01	2.907945e-01	7.654947e-02	1.009935e+00	1.716076e+00	1.243861e+00	
1.370000e+00	2.573290e-01	2.919458e-01	7.715530e-02	1.017306e+00	1.722541e+00	1.244091e+00	
